,GEOID,Region,VMT,Area in squaremile,Area normalized VMT,Statewide percentile rank,County percentile rank
266,6037139301,Los Angeles,4081197.089,1.106430054,3688617.346,94,90
267,6013355202,Contra Costa,5280073.892,10.01659966,527132.3677,74,69
268,6001451504,Alameda,4089814.164,1.25383997,3261831.065,93,89
269,6077001000,San Joaquin,5485413.292,1.478999972,3708866.393,94,89
270,6059011504,Orange,3634662.086,0.760765016,4777640.939,96,97
271,6067009336,Sacramento,4763775.765,22.77639961,209154.0299,60,58
272,6001432400,Alameda,3210492.37,3.199229956,1003520.351,81,75
273,6103000900,Tehama,5893621.504,106.0240021,55587.61591,26,36
274,6039000802,Madera,7069531.126,0.688979983,10260865.77,99,100
275,6029005208,Kern,4945915.301,541.9619751,9125.945229,5,3
276,6037431100,Los Angeles,4192840.445,1.161059976,3611217.795,94,90
277,6059052433,Orange,3472038.96,1.301419973,2667885.103,91,89
278,6029004802,Kern,5097146.142,1.136899948,4483372.658,96,98
279,6079012305,San Luis Obispo,3349302.06,13.8192997,242364.0947,63,72
280,6077003807,San Joaquin,4960326.3,0.421245992,11775367.34,99,100
281,6065043279,Riverside,4875459.016,7.75977993,628298.6193,76,75
282,6079012306,San Luis Obispo,3291649.315,54.12049866,60820.74993,28,35
283,6037403901,Los Angeles,4313012.297,0.485682994,8880303.303,99,98
284,6001450502,Alameda,3638408.125,4.361139774,834279.1823,79,74
285,6097152702,Sonoma,4465911.955,7.998600006,558336.7029,75,81
286,6035040200,Lassen,3345436.662,762.9500122,4384.870055,3,22
287,6059052430,Orange,2783489.071,17.76939964,156645.0824,53,51
288,6073013309,San Diego,3714695.95,0.975719988,3807133.188,94,98
289,6013324002,Contra Costa,4826005.074,0.782667994,6166094.83,97,100
290,6067009410,Sacramento,4800019.474,1.149510026,4175709.098,95,95
291,6077000802,San Joaquin,5179964.954,1.917219996,2701810.415,91,87
292,6077003504,San Joaquin,4203350.385,2.077470064,2023302.505,88,79
293,6079012708,San Luis Obispo,3888258.236,1012.809998,3839.079635,2,1
294,6095252702,Solano,6238086.013,112.4120026,55493.06009,26,24
295,6099000102,Stanislaus,3660164.909,86.50319672,42312.48148,21,12
296,6001450609,Alameda,3613252.171,1.037989974,3481008.74,93,90
297,6053014500,Monterey,5399869.799,5.36371994,1006739.699,81,93
298,6071008901,San Bernardino,7301776.318,1362.589966,5358.748047,3,5
299,6061020607,Placer,5058311.931,10.7098999,472302.447,73,77
300,6067001702,Sacramento,3402542.85,0.905112982,3759246.546,94,92
301,6013340004,Contra Costa,4168405.48,1.593400002,2616044.607,91,91
302,6067007021,Sacramento,3585917.9,0.915018022,3918958.767,95,94
303,6061020717,Placer,4748846.242,2.443919897,1943126.797,88,93
304,6029003827,Kern,4300149.235,16.89319992,254549.1236,64,53
305,6097151405,Sonoma,4439751.228,2.730119944,1626211.053,86,94
306,6077004906,San Joaquin,4109405.985,56.02220154,73353.16843,33,25
307,6013345205,Contra Costa,5033126.695,1.568490028,3208899.39,93,94
308,6017030902,El Dorado,2024845.799,19.62630081,103170.0176,42,81
309,6001438203,Alameda,2570789.112,2.029350042,1266804.178,83,77
310,6029003215,Kern,4551210.831,4.635550022,981806.0014,80,84
311,6037577900,Los Angeles,3926129.652,0.683902025,5740777.93,97,95
312,6059052527,Orange,2911011.715,1.304890037,2230848.297,89,86
313,6077004108,San Joaquin,3867031.475,7.997399807,483536.0953,73,67
314,6089012000,Shasta,6072959.529,4.209479809,1442686.461,84,90
